trade_date,open,high,low,close,vol,pre_close
2022-11-14,101.99,103.49,96.9,97.6,68786.89,101.34
2022-11-15,97.82,100.04,97.24,99.22,38636.17,97.6
2022-11-16,99.8,102.48,98.88,101.11,41488.76,99.22
2022-11-17,100.76,101.5,97.88,98.76,46562.58,101.11
2022-11-18,98.76,100.26,98.1,98.8,44032.67,98.76
2022-11-21,98.38,98.38,94.0,95.81,52056.18,98.8
2022-11-22,95.58,96.96,94.79,96.14,37054.87,95.81
2022-11-23,95.69,95.8,93.21,94.03,55081.39,96.14
2022-11-24,93.98,94.97,92.03,94.08,37386.13,94.03
2022-11-25,94.14,94.39,92.67,93.4,30355.62,94.08
2022-11-28,91.2,96.0,89.61,95.21,58147.77,93.4
2022-11-29,96.21,101.08,95.85,100.61,95170.74,95.21
2022-11-30,99.58,103.0,99.58,101.3,61890.96,100.61
2022-12-01,104.06,109.0,103.78,104.6,90436.7,101.3
2022-12-02,104.03,105.57,102.2,103.0,47733.53,104.6
2022-12-05,103.97,106.0,103.2,104.64,53036.52,103.0
2022-12-06,104.01,112.59,104.01,111.34,89455.8,104.64
2022-12-07,110.57,110.98,107.51,108.65,63433.33,111.34
2022-12-08,108.65,109.99,105.73,109.19,44430.4,108.65
2022-12-09,109.24,111.3,108.28,110.96,54432.09,109.19
2022-12-12,108.66,110.66,107.96,108.33,37200.28,110.96
2022-12-13,108.8,109.56,107.45,108.4,39783.6,108.33
2022-12-14,109.1,110.02,106.9,108.5,41701.74,108.4
2022-12-15,108.68,109.58,106.0,106.48,41988.61,108.5
2022-12-16,105.94,108.3,105.81,108.02,37251.21,106.48
2022-12-19,107.84,108.88,105.55,106.91,24740.92,108.02
2022-12-20,105.95,106.8,103.2,103.91,37545.46,106.91
2022-12-21,104.97,107.0,104.01,105.45,30094.56,103.91
2022-12-22,105.95,107.69,104.17,106.66,29371.91,105.45
2022-12-23,105.66,109.61,104.5,109.61,37592.68,106.66
2022-12-26,107.9,108.98,106.2,106.38,36566.36,109.61
2022-12-27,107.5,111.11,106.65,108.83,35141.7,106.38
2022-12-28,108.63,109.88,107.7,108.76,21624.53,108.83
2022-12-29,107.85,108.2,106.39,107.15,31138.75,108.76
2022-12-30,108.24,108.49,105.4,107.5,38565.59,107.15
2023-01-03,107.99,107.99,102.99,105.17,49761.61,107.5
2023-01-04,105.69,107.31,104.4,105.5,39743.62,105.17
2023-01-05,105.82,108.62,105.0,107.99,34708.5,105.5
2023-01-06,108.0,108.05,104.66,106.3,40587.19,107.99
